Past GDP,半期純利益増減率
11月3日,-15.6
11月9日,-34.6
12月3日,-27.5
12月9日,-18.1
3月13日,88.2
9月13日,148.3
3月14日,68.8
9月14日,9.4
3月15日,2.3
9月15日,17.1
3月16日,-27.5
9月16日,-10.8
17/3（予）,41.8
